COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Myanmar,MMR,SEARO,REPORTING,2/15/2022,42555469,22810233,78.213,41.923,19745236,36.29,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/27/2021,2
Namibia,NAM,AFRO,REPORTING,2/25/2022,814463,440661,32.054,17.343,373802,14.711,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,4
Nauru,NRU,WPRO,REPORTING,12/31/2021,15128,7764,139.634,71.663,7364,67.971,"AstraZeneca - Vaxzevria,SII - Covishield",4/9/2021,2
Nepal,NPL,SEARO,REPORTING,2/21/2022,36990447,18365638,126.954,63.032,17718276,60.811,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/27/2021,8
Netherlands,NLD,EURO,REPORTING,2/20/2022,33860098,13447203,194.5,77.249,12351489,70.955,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,4
New Caledonia,NCL,WPRO,REPORTING,2/19/2022,366169,187385,128.256,65.634,178784,62.622,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/20/2021,2
New Zealand,NZL,WPRO,REPORTING,2/18/2022,10345639,4237941,214.54,87.883,3951568,81.945,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/19/2021,4
Nicaragua,NIC,AMRO,REPORTING,2/25/2022,9367505,5423137,141.406,81.864,3944368,59.542,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/3/2021,9
Niger,NER,AFRO,REPORTING,2/26/2022,1840055,1474560,7.601,6.092,1049867,4.337,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/29/2021,2
Nigeria,NGA,AFRO,REPORTING,2/27/2022,26516526,17735985,12.863,8.604,8091251,3.925,SII - Covishield,3/5/2021,1
